자치구,법정동,아파트,년,거래건수,평균거래금액,최근거래일,가격대
송파구,가락동,헬리오시티,2024,370,205719.86486486485,2024-12-28,20억 이상
구로구,개봉동,세이지움개봉,2025,354,24129.94350282486,2025-05-29,10억 미만
송파구,신천동,파크리오,2024,324,208193.36419753087,2024-12-31,20억 이상
송파구,신천동,파크리오,2025,320,251210.625,2025-12-26,20억 이상
송파구,가락동,헬리오시티,2023,318,177301.2578616352,2023-12-29,15억~20억
강동구,고덕동,고덕그라시움,2025,312,187285.2564102564,2025-12-23,15억~20억
송파구,가락동,헬리오시티,2025,301,244499.16943521594,2025-12-31,20억 이상
강동구,상일동,고덕아르테온,2025,282,178902.83687943264,2025-12-30,15억~20억
강동구,고덕동,래미안힐스테이트고덕,2025,257,177278.98832684825,2025-12-30,15억~20억
강동구,암사동,선사현대아파트,2025,255,119195.49019607843,2025-12-20,10억~15억
은평구,대조동,베르디움STAY1,2023,252,47400.793650793654,2023-03-06,10억 미만
성동구,하왕십리동,센트라스,2025,248,167704.43548387097,2025-12-30,15억~20억
강동구,고덕동,고덕그라시움,2024,238,151859.66386554623,2024-12-31,15억~20억
강동구,고덕동,고덕그라시움,2023,233,133696.56652360514,2023-12-30,10억~15억
강동구,암사동,롯데캐슬퍼스트,2025,231,158255.41125541125,2025-12-20,15억~20억
송파구,신천동,파크리오,2023,226,183160.8407079646,2023-12-30,15억~20억
송파구,잠실동,리센츠,2025,217,258617.9723502304,2025-12-27,20억 이상
동대문구,답십리동,래미안위브,2025,216,137759.72222222222,2025-12-30,10억~15억
중구,신당동,남산타운,2025,208,134793.50961538462,2025-12-18,10억~15억
서대문구,북가좌동,DMC래미안e편한세상,2025,205,128905.85365853658,2025-12-27,10억~15억
은평구,응암동,녹번역e편한세상캐슬,2025,205,116666.58536585367,2025-12-27,10억~15억
송파구,잠실동,잠실엘스,2025,198,295635.6060606061,2025-12-17,20억 이상
강북구,미아동,에스케이북한산시티,2025,197,65760.20304568528,2025-12-12,10억 미만
송파구,문정동,올림픽훼밀리타운,2024,196,197289.0306122449,2024-12-31,15억~20억
송파구,문정동,올림픽훼밀리타운,2025,186,237862.36559139786,2025-12-29,20억 이상
동대문구,전농동,래미안크레시티,2025,183,144173.60655737706,2025-12-30,10억~15억
강동구,상일동,고덕아르테온,2024,182,147465.65934065933,2024-12-16,10억~15억
